País,Total Casos,Nuevos Casos,Total Muertes,Nuevas Muertes,Total Recuperados,Casos Activos,Casos Críticos,Casos por millón,Muertes por millón,Pruebas realizadas,Pruebas por millón,Población
Jordan,"1,746,997",,"14,122",,"1,731,007","1,868",59,"17,201,885","1,669,945","10,300,869",Asia,6
Ireland,"1,734,582",,"9,491",,"1,724,921",170,19,"13,083,449","2,606,161","5,020,199",Europe,3
Pakistan,"1,581,936",,"30,664",,"1,538,689","12,583",,"30,589,153","133,292","229,488,994",Asia,145
Finland,"1,516,117",,"11,958",,"1,503,989",170,N/A,"12,108,977","2,179,850","5,554,960",Europe,4
Norway,"1,509,732",,"6,638",,"1,503,094",0,N/A,"11,002,430","1,996,315","5,511,370",Europe,4
Kazakhstan,"1,411,831",,"13,848",,"1,383,020","14,963",24,"11,575,012","602,707","19,205,043",Asia,14
Lithuania,"1,397,806",,"9,897",,"1,387,478",431,N/A,"10,540,357","3,959,997","2,661,708",Europe,2
Slovenia,"1,356,546",,"7,100",,"1,349,424",22,N/A,"2,847,701","1,370,382","2,078,034",Europe,2
Bulgaria,"1,339,851",,"38,748",,"1,292,944","8,159",22,"11,671,043","1,705,147","6,844,597",Europe,5
Croatia,"1,309,728",,"18,687",,"1,258,432","32,609",,"5,660,084","1,394,355","4,059,286",Europe,3
Guatemala,"1,291,293",,"20,289",,"1,269,891","1,113",5,"7,593,848","408,622","18,584,039",North America,14
Morocco,"1,278,992",,"16,303",,N/A,N/A,N/A,"13,001,033","344,191","37,772,756",Africa,30
Lebanon,"1,243,838",,"10,952",,"1,087,587","145,299",74,"4,795,578","717,380","6,684,849",Asia,5
Costa Rica,"1,238,883",,"9,428",,N/A,N/A,N/A,"4,659,757","899,158","5,182,354",North America,4
Bolivia,"1,212,131",,"22,407",,"1,177,145","12,579",220,"2,710,261","225,993","11,992,656",South America,10
Tunisia,"1,153,361",,"29,423",,N/A,N/A,N/A,"5,013,383","416,164","12,046,656",Africa,10
Cuba,"1,115,251",,"8,530",,"1,106,660",61,,"14,402,674","1,273,936","11,305,652",North America,10
Ecuador,"1,070,188",,"36,043",,"1,034,145",0,,"3,082,403","170,173","18,113,361",South America,17
UAE,"1,067,030",,"2,349",,N/A,N/A,,"200,732,262","19,910,389","10,081,785",Asia,9
Panama,"1,059,893",,"8,727",,"1,051,102",64,16,"7,882,622","1,772,585","4,446,964",North America,4
Uruguay,"1,041,111",,"7,664",,"1,030,944","2,503",18,"6,114,822","1,749,083","3,496,016",South America,3
Mongolia,"1,011,496",,"2,284",,"1,009,212",0,N/A,"4,030,048","1,193,000","3,378,078",Asia,3
Nepal,"1,003,450",,"12,031",,"991,322",97,,"6,047,766","200,088","30,225,582",Asia,30
Belarus,"994,037",,"7,118",,"985,592","1,327",,"13,646,641","1,446,722","9,432,800",Europe,9
Latvia,"982,505",,"6,715",,"971,406","4,384",,"7,885,792","4,265,272","1,848,837",Europe,2
Saudi Arabia,"841,469",,"9,646",,N/A,N/A,,"45,481,735","1,268,848","35,844,909",Asia,43
Paraguay,"837,602",,"20,155",,N/A,N/A,N/A,"2,657,506","363,751","7,305,843",South America,9
Azerbaijan,"835,234",,"10,400",,"824,089",745,,"7,748,050","752,223","10,300,205",Asia,12
Bahrain,"729,549",,"1,574",,"727,915",60,N/A,"10,948,549","6,137,138","1,783,983",Asia,2
Cyprus,"681,110",,"1,365",,"679,745",0,,"9,640,118","7,879,860","1,223,387",Asia,2
Dominican Republic,"675,890",,"4,384",,"671,316",190,4,"3,740,928","338,350","11,056,370",North America,16
Sri Lanka,"672,754",,"16,897",,"655,852",5,,"6,486,117","300,619","21,575,842",Asia,32
Kuwait,"667,158",,"2,570",,N/A,N/A,,"8,455,743","1,930,391","4,380,326",Asia,7
Myanmar,"641,873",,"19,495",,"620,159","2,219",,"11,711,514","212,061","55,227,143",Asia,86
Moldova,"635,145",,"12,218",,N/A,N/A,N/A,"3,216,305","801,437","4,013,171",Europe,6
Estonia,"628,070",,"3,001",,N/A,N/A,N/A,"6,968,103","5,271,239","1,321,910",Europe,2
Palestine,"621,008",,"5,404",,"615,445",159,,"3,078,533","575,907","5,345,541",Asia,9
Venezuela,"552,695",,"5,856",,"546,537",302,31,"3,359,014","114,771","29,266,991",South America,53
Egypt,"516,023",,"24,613",,"442,182","49,228",122,"3,693,367","34,792","106,156,692",Africa,206
Qatar,"514,524",,690,,"513,687",147,16,"4,065,369","1,364,257","2,979,915",Asia,6
Libya,"507,274",,"6,437",,"500,835",2,,"2,483,848","352,782","7,040,745",Africa,14
Ethiopia,"501,157",,"7,574",,"488,171","5,412",,"5,565,340","46,066","120,812,698",Africa,241
Réunion,"494,595",,921,,N/A,N/A,N/A,"1,603,660","1,766,027","908,061",Africa,2
Honduras,"474,590",,"11,165",,N/A,N/A,N/A,"1,660,662","162,472","10,221,247",North America,22
Armenia,"451,831",,"8,777",,"435,162","7,892",,"3,242,901","1,091,164","2,971,966",Asia,7
Bosnia and Herzegovina,"403,615",,"16,388",,"379,084","8,143",,"1,884,721","580,036","3,249,317",Europe,8
Oman,"399,449",,"4,628",,N/A,N/A,,"25,000,000","4,695,724","5,323,993",Asia,13
Luxembourg,"391,232",,"1,232",,N/A,N/A,,"4,587,145","7,140,959","642,371",Europe,2
North Macedonia,"350,567",,"9,976",,"337,068","3,523",,"2,226,216","1,069,626","2,081,304",Europe,6
Zambia,"349,304",,"4,069",,"341,316","3,919",,"4,112,961","211,244","19,470,234",Africa,56
Kenya,"344,130",,"5,689",,"337,309","1,132",N/A,"3,967,062","70,569","56,215,221",Africa,163
Brunei,"343,719",,225,,"243,601","99,893",3,"717,784","1,611,437","445,431",Asia,1
Albania,"334,863",,"3,605",,"330,233","1,025",,"1,941,032","677,173","2,866,374",Europe,9
Botswana,"330,638",,"2,801",,"327,049",788,1,"2,026,898","830,300","2,441,162",Africa,7
Montenegro,"296,542",,"2,846",,"291,794","1,902",N/A,"2,769,281","4,410,034","627,950",Europe,2
Algeria,"272,010",,"6,881",,"183,061","82,068",,"230,960","5,093","45,350,148",Africa,167
Nigeria,"267,188",,"3,155",,"259,953","4,080",11,"5,708,974","26,339","216,746,934",Africa,811
Zimbabwe,"266,359",,"5,740",,"258,888","1,731",12,"2,525,756","164,744","15,331,428",Africa,58
Uzbekistan,"253,662",,"1,637",,"241,486","10,539",23,"1,377,915","40,077","34,382,084",Asia,136
Afghanistan,"234,174",,"7,996",,"211,080","15,098",,"1,390,730","34,125","40,754,388",Asia,174
Mozambique,"233,731",,"2,250",,"228,805","2,676",11,"1,371,127","41,437","33,089,461",Africa,142
Martinique,"230,354",,"1,102",,N/A,N/A,N/A,"828,928","2,215,870","374,087",North America,2
Laos,"218,970",,758,,N/A,N/A,,"1,233,207","164,845","7,481,023",Asia,34
Iceland,"209,906",,229,,N/A,N/A,,"1,996,384","5,780,036","345,393",Europe,2
Kyrgyzstan,"206,897",,"2,991",,"196,406","7,500",131,"1,907,195","283,460","6,728,271",Asia,33
Guadeloupe,"203,235",,"1,021",,N/A,N/A,N/A,"938,039","2,346,306","399,794",North America,2
El Salvador,"201,855",,"4,230",,"179,410","18,215",,"2,610,114","398,467","6,550,389",North America,32
Trinidad and Tobago,"191,496",,"4,390",,"187,078",28,N/A,"913,289","649,295","1,406,585",North America,7
Maldives,"186,694",,316,,"163,687","22,691",25,"2,213,831","4,092,223","540,985",Asia,3
Namibia,"172,389",,"4,106",,"167,099","1,184",,"1,062,663","403,460","2,633,874",Africa,15
Uganda,"172,149",,"3,632",,"100,431","68,086",,"3,012,408","62,198","48,432,863",Africa,281
Ghana,"171,889",,"1,462",,"170,425",2,,"2,541,625","78,456","32,395,450",Africa,188
Jamaica,"156,869",,"3,756",,N/A,N/A,,"1,183,986","396,633","2,985,094",North America,19
Cambodia,"139,103",,"3,056",,"136,044",3,,"3,091,420","180,062","17,168,639",Asia,123
Rwanda,"133,518",,"1,468",,"132,039",11,,"6,021,981","442,778","13,600,464",Africa,102
Cameroon,"125,379",,"1,974",,"123,280",125,N/A,"1,751,774","62,762","27,911,548",Africa,223
Malta,"121,420",,885,,"120,149",386,,"2,170,600","4,888,375","444,033",Europe,4
Barbados,"110,578",,648,,"108,647","1,283",,"814,159","2,826,715","288,023",North America,3
Angola,"107,327",,"1,937",,"103,419","1,971",,"1,499,795","42,818","35,027,343",Africa,326
Channel Islands,"101,717",,228,,"101,321",168,,"1,252,808","7,099,551","176,463",Europe,2
DRC,"99,338",,"1,468",,"84,489","13,381",,"846,704","8,890","95,240,792",Africa,959
French Guiana,"98,041",,420,,"11,254","86,367",6,"651,257","2,072,951","314,169",South America,3
Malawi,"89,535",,"2,686",,N/A,N/A,N/A,"624,784","30,959","20,180,839",Africa,225
Senegal,"89,053",,"1,971",,"87,024",58,,"1,146,543","64,946","17,653,671",Africa,198
Ivory Coast,"88,384",,835,,"87,497",52,,"1,690,934","60,951","27,742,298",Africa,314
Suriname,"82,588",,"1,408",,N/A,N/A,,"242,207","405,822","596,831",South America,7
New Caledonia,"80,064",,314,,N/A,N/A,N/A,"98,964","340,182","290,915",Australia/Oceania,4
French Polynesia,"79,254",,650,,N/A,N/A,N/A,,,"284,164",Australia/Oceania,4
Eswatini,"75,191",,"1,427",,"73,116",648,,"1,048,704","885,119","1,184,817",Africa,16
Guyana,"74,137",,"1,300",,"72,013",824,,"733,218","923,396","794,045",South America,11
Belize,"71,409",,688,,N/A,N/A,N/A,"576,016","1,397,453","412,190",North America,6
Fiji,"69,117",,885,,"67,226","1,006",,"672,883","739,866","909,466",Australia/Oceania,13
Madagascar,"68,486",,"1,426",,"66,862",198,,"531,329","18,210","29,178,077",Africa,426
Cabo Verde,"64,477",,417,,"63,755",305,23,"401,622","707,482","567,678",Africa,9
Sudan,"63,993",,"5,046",,"58,947",0,,"562,941","12,240","45,992,020",Africa,719
Mauritania,"63,848",,997,,"62,471",380,,"1,009,957","206,030","4,901,981",Africa,77
Bhutan,"62,697",,21,,"61,564","1,112",,"2,303,734","2,923,739","787,941",Asia,13
Syria,"57,743",,"3,165",,"54,578",0,,"146,269","7,553","19,364,809",Asia,335
Burundi,"54,721",,38,,"53,569","1,114",,"345,742","27,386","12,624,840",Africa,231
Seychelles,"51,220",,172,,"51,048",0,,,,"99,426",Africa,2
Gabon,"49,051",,307,,"48,674",70,,"1,621,909","695,641","2,331,533",Africa,48
Andorra,"48,015",,165,,N/A,N/A,N/A,"249,838","3,225,256","77,463",Europe,2
Papua New Guinea,"46,864",,670,,"46,168",26,N/A,"249,149","26,813","9,292,169",Australia/Oceania,198
Curaçao,"45,986",,295,,"44,720",971,3,"496,693","3,000,640","165,529",North America,4
Aruba,"44,224",,292,,"42,438","1,494",2,"177,885","1,653,068","107,609",North America,2
Tanzania,"43,223",,846,,N/A,N/A,N/A,,,"63,298,550",Africa,"1,464"
Mauritius,"43,025",,"1,051",,"41,278",696,,"358,675","281,374","1,274,727",Africa,30
Mayotte,"42,027",,188,,N/A,N/A,,"176,919","618,038","286,259",Africa,7
Togo,"39,572",,290,,"39,281",1,,"815,204","93,908","8,680,837",Africa,219
Guinea,"38,572",,468,,"37,757",347,N/A,"660,107","47,607","13,865,691",Africa,359
Bahamas,"38,084",,844,,"36,366",874,1,"257,839","643,767","400,516",North America,11
Isle of Man,"38,008",,116,,N/A,N/A,,"150,753","1,758,422","85,732",Europe,2
Lesotho,"36,138",,723,,"25,980","9,435",,"431,221","198,199","2,175,699",Africa,60
Haiti,"34,667",,860,,"33,734",73,,"132,422","11,337","11,680,283",North America,337
Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,"778,000","15,802,409","49,233",Europe,1
Mali,"33,164",,743,,"32,332",89,,"804,909","37,483","21,473,764",Africa,648
Cayman Islands,"31,472",,37,,"8,553","22,882",1,"222,773","3,311,280","67,277",North America,2
Saint Lucia,"30,215",,410,,"29,805",0,,"210,983","1,139,752","185,113",North America,6
Benin,"28,036",,163,,"27,847",26,,"604,310","47,268","12,784,726",Africa,456
Macao,"27,673",,123,,"3,487","24,063",,"7,850","11,760","667,490",Asia,24
Somalia,"27,334",,"1,361",,"13,182","12,791",,"400,466","23,778","16,841,795",Africa,616
Micronesia,"26,547",,65,,N/A,N/A,N/A,"82,430","701,598","117,489",Australia/Oceania,4
